index,fruit,athlete,delicious,tropical,performance,energy,nutrition,seascape,round,h2o,tennis,concert,sports,surf,football,sweet,juicy,drop,season,musician,healthy,ball,ice,singer,game
7UP,1,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A and W Root Beer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anheuser Busch,0,9,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0
Aquafina,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,9,0,0
Arizona Beverage,2,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacardi,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0
Bud Light,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Budweiser,0,8,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
Canada Dry,8,0,9,0,0,0,7,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,10,0,0
Cherry Coke,0,0,0,0,1,0,0,6,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
CocaCola,0,0,0,6,0,0,0,0,4,5,10,0,0,0,0,0,0,8,0,0,0,0,0,0,0
CocaCola Diet,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CocaCola Zero,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coors,0,9,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
Coors Light,0,0,0,0,10,7,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,6,8,0
Corona,1,0,0,7,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Crystal Light,10,0,4,2,0,0,7,0,0,0,0,0,0,0,0,9,3,0,0,0,6,0,0,0,0
Dasani Water,0,9,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,4,0,0,0
Diet Mountain Dew,0,1,0,8,0,9,0,7,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Diet Pepsi,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0
Dr Pepper,0,0,0,0,0,0,0,5,0,8,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0
Dr Pepper Diet,10,0,9,0,0,0,8,0,3,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0
Fanta,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Folgers Coffee,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Gatorade,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,6
Heineken,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,3,0
Jack Daniels,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0
KoolAid,0,0,0,10,0,0,0,7,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
Lipton,6,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,2,4,0,8,0,0,0,0
Maxwell House,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikes Hard Lemonade,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,9,0
Miller Brewing,0,2,0,0,6,0,0,0,0,0,0,7,0,0,9,0,0,0,0,8,0,0,0,1,0
Miller Lite,0,1,0,0,2,0,0,4,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0
Minute Maid,10,0,5,0,0,0,8,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0
Monster Energy Drink,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Dew,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mug Root Beer,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0
Nestea,1,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocean Spray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Pepsi,0,0,0,0,8,0,0,0,0,0,5,0,0,0,4,0,0,0,0,6,0,0,0,0,7
Poland Spring,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0
Powerade,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Red Bull,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Mist,0,0,0,8,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Smirnoff,0,0,0,0,9,0,0,0,0,0,4,7,0,0,0,0,0,3,0,10,0,0,0,8,0
Snapple,10,0,6,0,0,0,5,0,0,0,0,0,0,0,0,4,9,0,0,0,7,0,0,0,0
Sprite,0,10,0,1,0,0,0,0,0,8,9,0,5,0,0,0,0,0,0,0,0,7,0,0,2
Sunkist,10,0,3,9,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Tropicana,0,0,5,9,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V8 Juice,4,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Vitamin Water,0,9,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2,0,0,5
Welchs,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Coffeemate,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simply Orange,5,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Silk Soymilk,2,0,1,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Capri Sun,8,0,7,0,0,0,0,5,0,9,0,0,0,0,0,6,2,4,1,0,0,0,0,0,0
Gold Peak Tea,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0
Barefoot Wine,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Rockstar,0,6,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
General Foods International Coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Crush,0,0,0,8,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SmartWater,9,0,6,0,0,1,8,0,4,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Diet Pepsi MAX,0,7,0,0,0,1,0,0,0,5,10,0,9,2,0,0,0,0,0,0,0,3,0,0,0
Sprite Zero,6,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0
